Fecha,Producto,Región,Ventas
2024-04-12,D,Centro,196
2024-12-14,B,Sur,270
2024-09-27,D,Centro,363
2024-04-16,A,Este,400
2024-03-12,D,Norte,423
2024-07-07,E,Este,55
2024-01-21,E,Norte,309
2024-04-12,D,Centro,348
2024-05-01,E,Oeste,398
2024-08-02,B,Sur,91
2024-11-26,D,Centro,308
2024-03-28,B,Norte,434
2024-04-09,B,Norte,488
2024-12-25,C,Norte,320
2024-05-31,D,Norte,96
2024-05-10,E,Sur,134
2024-05-29,B,Este,223
2024-11-04,C,Oeste,107
2024-09-14,D,Sur,248
2024-12-09,D,Norte,258
2024-10-20,A,Sur,297
2024-07-10,A,Centro,260
2024-10-03,B,Norte,88
2024-06-09,A,Oeste,301
2024-11-09,B,Norte,180
2024-01-22,E,Oeste,463
2024-09-09,B,Oeste,340
2024-08-23,A,Este,299
2024-12-10,E,Este,490
2024-02-18,A,Sur,462
2024-02-28,B,Sur,483
2024-06-18,C,Oeste,495
2024-07-06,D,Norte,101
2024-09-27,A,Centro,423
2024-07-08,B,Centro,63
2024-06-23,E,Norte,468
2024-02-20,A,Norte,205
2024-12-29,A,Este,491
2024-02-24,D,Centro,79
2024-08-31,B,Oeste,139
2024-11-15,C,Sur,440
2024-05-10,E,Este,216
2024-11-02,B,Centro,400
2024-05-14,E,Norte,118
2024-01-21,A,Centro,212
2024-11-24,D,Oeste,291
2024-06-15,D,Este,432
2024-09-30,C,Norte,101
2024-03-29,D,Oeste,191
2024-11-11,A,Sur,112
2024-01-14,C,Este,341
2024-08-29,B,Oeste,140
2024-09-21,D,Oeste,201
2024-12-11,C,Norte,473
2024-02-22,A,Sur,206
2024-12-05,E,Oeste,358
2024-04-01,E,Este,414
2024-09-20,A,Oeste,199
2024-02-04,A,Centro,377
2024-07-24,E,Este,320
2024-03-21,C,Este,418
2024-02-19,E,Oeste,118
2024-12-25,A,Norte,165
2024-01-02,D,Este,241
2024-02-23,B,Centro,53
2024-04-15,D,Norte,124
2024-09-16,D,Norte,451
2024-11-05,A,Norte,347
2024-07-09,E,Este,290
2024-08-05,C,Norte,79
2024-02-13,D,Oeste,192
2024-06-10,E,Norte,375
2024-07-20,C,Centro,232
2024-09-26,D,Sur,486
2024-12-16,C,Centro,65
2024-10-30,E,Este,160
2024-09-27,B,Norte,409
2024-08-02,E,Norte,250
2024-09-08,A,Oeste,156
2024-07-08,C,Norte,428
2024-10-22,B,Centro,211
2024-07-31,C,Este,332
2024-07-26,C,Sur,318
2024-08-24,D,Norte,204
2024-12-03,A,Sur,122
2024-02-22,C,Norte,246
2024-10-06,E,Este,292
2024-08-04,E,Centro,135
2024-09-08,D,Este,336
2024-07-06,A,Sur,308
2024-02-10,A,Norte,335
2024-06-05,E,Sur,198
2024-01-15,B,Centro,404
2024-10-27,D,Este,439
2024-03-05,D,Sur,465
2024-12-10,E,Sur,475
2024-11-22,E,Centro,239
2024-01-09,B,Norte,266
2024-12-09,B,Sur,465
2024-05-08,A,Centro,404
2024-05-15,D,Norte,135
2024-03-03,D,Norte,265
2024-05-18,E,Este,472
2024-03-21,A,Centro,369
2024-06-11,D,Norte,167
2024-10-15,A,Este,463
2024-09-17,A,Oeste,496
